"course_id","question_text","average_score","n_scored"
"20260126_STATR","The course was well organised (communication, registration, logistics, administration, etc)",3,5
"20260126_STATR","For the topics covered the course was",1.6,5
"20260126_STATR","The difficulty of the course was appropriate for my knowledge",1.6,5
"20260126_STATR","The course content was well structured",2.8,5
"20260126_STATR","The balance of theoretical and practical content was",2,5
"20260126_STATR","The exercises were useful and well integrated into the course",2.8,5
"20260126_STATR","Please tell us your overall rating for the entire course",4.4,5
"20260126_STATR","The course met my expectations",2.8,5
"20260126_STATR","Have you used the tool(s)/resource(s) covered in the course before?",2.6,5
"20260210_GPUPR","The course was well organised (communication, registration, logistics, administration, etc)",2.90909090909091,22
"20260210_GPUPR","For the topics covered the course was",1.63636363636364,22
"20260210_GPUPR","The difficulty of the course was appropriate for my knowledge",1.45454545454545,22
"20260210_GPUPR","The course content was well structured",2.68181818181818,22
"20260210_GPUPR","The balance of theoretical and practical content was",1.63636363636364,22
"20260210_GPUPR","The exercises were useful and well integrated into the course",2.36363636363636,22
"20260210_GPUPR","Please tell us your overall rating for the entire course",4.13636363636364,22
"20260210_GPUPR","The course met my expectations",2.45,20
"20260210_GPUPR","Have you used the tool(s)/resource(s) covered in the course before?",1.95454545454545,22
"20260217_BIVMD","The course was well organised (communication, registration, logistics, administration, etc)",2.5,12
"20260217_BIVMD","For the topics covered the course was",1.25,12
"20260217_BIVMD","The difficulty of the course was appropriate for my knowledge",1.5,12
"20260217_BIVMD","The course content was well structured",2.5,12
"20260217_BIVMD","The balance of theoretical and practical content was",1.66666666666667,12
"20260217_BIVMD","The exercises were useful and well integrated into the course",2.58333333333333,12
"20260217_BIVMD","Please tell us your overall rating for the entire course",3.91666666666667,12
"20260217_BIVMD","The course met my expectations",2.33333333333333,12
"20260217_BIVMD","Have you used the tool(s)/resource(s) covered in the course before?",2.41666666666667,12
"20260226_LONGR","The course was well organised (communication, registration, logistics, administration, etc)",2.95,20
"20260226_LONGR","For the topics covered the course was",1.75,20
"20260226_LONGR","The difficulty of the course was appropriate for my knowledge",1.6,20
"20260226_LONGR","The course content was well structured",2.6,20
"20260226_LONGR","The balance of theoretical and practical content was",1.7,20
"20260226_LONGR","The exercises were useful and well integrated into the course",2.7,20
"20260226_LONGR","Please tell us your overall rating for the entire course",4.15,20
"20260226_LONGR","The course met my expectations",2.8,20
"20260226_LONGR","Have you used the tool(s)/resource(s) covered in the course before?",2.1,20
"20260304_BAGES","The course was well organised (communication, registration, logistics, administration, etc)",2.9811320754717,53
"20260304_BAGES","For the topics covered the course was",1.56603773584906,53
"20260304_BAGES","The difficulty of the course was appropriate for my knowledge",1.62264150943396,53
"20260304_BAGES","The course content was well structured",2.86792452830189,53
"20260304_BAGES","The balance of theoretical and practical content was",1.39622641509434,53
"20260304_BAGES","The exercises were useful and well integrated into the course",2.28,50
"20260304_BAGES","Please tell us your overall rating for the entire course",3.86792452830189,53
"20260304_BAGES","The course met my expectations",2.49056603773585,53
"20260304_BAGES","Have you used the tool(s)/resource(s) covered in the course before?",2.28301886792453,53
"20260305_MODAI","The course was well organised (communication, registration, logistics, administration, etc)",2.83333333333333,12
"20260305_MODAI","For the topics covered the course was",1.5,12
"20260305_MODAI","The difficulty of the course was appropriate for my knowledge",1.66666666666667,12
"20260305_MODAI","The course content was well structured",2.75,12
"20260305_MODAI","The balance of theoretical and practical content was",1.83333333333333,12
"20260305_MODAI","The exercises were useful and well integrated into the course",2.58333333333333,12
"20260305_MODAI","Please tell us your overall rating for the entire course",3.83333333333333,12
"20260305_MODAI","The course met my expectations",2.33333333333333,12
"20260305_MODAI","Have you used the tool(s)/resource(s) covered in the course before?",2.5,12
"20260309_FSWRR","The course was well organised (communication, registration, logistics, administration, etc)",2.9,10
"20260309_FSWRR","For the topics covered the course was",1.2,10
"20260309_FSWRR","The difficulty of the course was appropriate for my knowledge",1.6,10
"20260309_FSWRR","The course content was well structured",2.7,10
"20260309_FSWRR","The balance of theoretical and practical content was",2,10
"20260309_FSWRR","The exercises were useful and well integrated into the course",2.6,10
"20260309_FSWRR","Please tell us your overall rating for the entire course",3.9,10
"20260309_FSWRR","The course met my expectations",2.9,10
"20260309_FSWRR","Have you used the tool(s)/resource(s) covered in the course before?",1.8,10
"20260311_FSWPY","The course was well organised (communication, registration, logistics, administration, etc)",3,12
"20260311_FSWPY","For the topics covered the course was",1.41666666666667,12
"20260311_FSWPY","The difficulty of the course was appropriate for my knowledge",1.58333333333333,12
"20260311_FSWPY","The course content was well structured",2.83333333333333,12
"20260311_FSWPY","The balance of theoretical and practical content was",1.83333333333333,12
"20260311_FSWPY","The exercises were useful and well integrated into the course",2.75,12
"20260311_FSWPY","Please tell us your overall rating for the entire course",4.33333333333333,12
"20260311_FSWPY","The course met my expectations",2.75,12
"20260311_FSWPY","Have you used the tool(s)/resource(s) covered in the course before?",2.08333333333333,12
"20260317_NEXAC","The course was well organised (communication, registration, logistics, administration, etc)",2.77777777777778,18
"20260317_NEXAC","For the topics covered the course was",1.44444444444444,18
"20260317_NEXAC","The difficulty of the course was appropriate for my knowledge",1.94117647058824,17
"20260317_NEXAC","The course content was well structured",2.5,18
"20260317_NEXAC","The balance of theoretical and practical content was",1.77777777777778,18
"20260317_NEXAC","The exercises were useful and well integrated into the course",2.5625,16
"20260317_NEXAC","Please tell us your overall rating for the entire course",4.27777777777778,18
"20260317_NEXAC","The course met my expectations",2.61111111111111,18
"20260317_NEXAC","Have you used the tool(s)/resource(s) covered in the course before?",2.27777777777778,18
"20260318_ISCTR","The course was well organised (communication, registration, logistics, administration, etc)",2.76190476190476,21
"20260318_ISCTR","For the topics covered the course was",1.42857142857143,21
"20260318_ISCTR","The difficulty of the course was appropriate for my knowledge",1.57142857142857,21
"20260318_ISCTR","The course content was well structured",2.71428571428571,21
"20260318_ISCTR","The balance of theoretical and practical content was",1.61904761904762,21
"20260318_ISCTR","The exercises were useful and well integrated into the course",2.71428571428571,21
"20260318_ISCTR","Please tell us your overall rating for the entire course",4.19047619047619,21
"20260318_ISCTR","The course met my expectations",2.66666666666667,21
"20260318_ISCTR","Have you used the tool(s)/resource(s) covered in the course before?",2.33333333333333,21
"20260325_BNSAI","The course was well organised (communication, registration, logistics, administration, etc)",2.8695652173913,23
"20260325_BNSAI","For the topics covered the course was",1.65217391304348,23
"20260325_BNSAI","The difficulty of the course was appropriate for my knowledge",1.39130434782609,23
"20260325_BNSAI","The course content was well structured",2.82608695652174,23
"20260325_BNSAI","The balance of theoretical and practical content was",1.82608695652174,23
"20260325_BNSAI","The exercises were useful and well integrated into the course",2.36842105263158,19
"20260325_BNSAI","Please tell us your overall rating for the entire course",4.04347826086957,23
"20260325_BNSAI","The course met my expectations",2.73913043478261,23
"20260325_BNSAI","Have you used the tool(s)/resource(s) covered in the course before?",0.91304347826087,23
"20260331_STAML","The course was well organised (communication, registration, logistics, administration, etc)",2.90909090909091,11
"20260331_STAML","For the topics covered the course was",1.18181818181818,11
"20260331_STAML","The difficulty of the course was appropriate for my knowledge",1.45454545454545,11
"20260331_STAML","The course content was well structured",2.81818181818182,11
"20260331_STAML","The balance of theoretical and practical content was",1.63636363636364,11
"20260331_STAML","The exercises were useful and well integrated into the course",2.54545454545455,11
"20260331_STAML","Please tell us your overall rating for the entire course",3.81818181818182,11
"20260331_STAML","The course met my expectations",2.45454545454545,11
"20260331_STAML","Have you used the tool(s)/resource(s) covered in the course before?",3,11
"20260402_SHINY","The course was well organised (communication, registration, logistics, administration, etc)",2.83333333333333,12
"20260402_SHINY","For the topics covered the course was",1.58333333333333,12
"20260402_SHINY","The difficulty of the course was appropriate for my knowledge",1.66666666666667,12
